"통계분류(1)",통계분류(2),2016,2016,2016,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,있음,없음,표본수,있음,없음,표본수,있음,없음,표본수,있음,없음,표본수,있음,없음,표본수,있음,없음
"전체",소계,10602,47.2,52.8,10498,51,49,10060,48.9,51.1,10088,44.4,55.6,10049,35.4,64.6,10046,39.4,60.6
"성별",남성,5179,50.3,49.7,5263,52.2,47.8,5028,50.2,49.8,5003,48.2,51.8,4972,39.5,60.5,4893,40.7,59.3
"성별",여성,5423,44,56,5235,49.9,50.1,5032,47.7,52.3,5085,40.6,59.4,5077,31.4,68.6,5153,38,62
"연령별",15~19세,827,45.4,54.6,696,43.1,56.9,661,40.1,59.9,619,47.8,52.2,588,36.7,63.3,487,32.1,67.9
"연령별",20대,1476,51.8,48.2,1458,49.6,50.4,1468,49.2,50.8,1536,50,50,1512,43.3,56.7,1371,41,59
"연령별",30대,1707,48.4,51.6,1560,52,48,1643,48.5,51.5,1644,46.1,53.9,1492,38.7,61.3,1433,42,58
"연령별",40대,1991,50.9,49.1,1998,55.7,44.3,1885,50.7,49.3,1888,47.8,52.2,1782,35.3,64.7,1717,39.7,60.3
"연령별",50대,1956,51.3,48.7,2007,54.1,45.9,1877,49.5,50.5,1858,46.3,53.7,1900,38.5,61.5,1831,42.5,57.5
"연령별",60대,1336,41.3,58.7,1422,54,46,1324,52.1,47.9,1377,40.8,59.2,1477,31.4,68.6,1707,40.8,59.2
"연령별",70세이상,1309,31.9,68.1,1357,39.5,60.5,1202,46.3,53.7,1166,29.4,70.6,1298,21.4,78.6,1500,30.4,69.6
"학력별",초졸 이하,1248,31.3,68.7,923,35,65,1151,40.9,59.1,1101,30,70,1139,20.8,79.2,1146,26.2,73.8
"학력별",중졸,1471,38.6,61.4,1452,44.1,55.9,1164,44.7,55.3,1067,38.7,61.3,1142,27.4,72.6,1136,31.5,68.5
"학력별",고졸,4183,46.7,53.3,4491,49.8,50.2,3940,49.3,50.7,4039,42.9,57.1,3927,33.6,66.4,3790,38.6,61.4
"학력별",대졸이상,3700,54.2,45.8,3632,57.9,42.1,3805,51.7,48.3,3881,51.2,48.8,3841,43.1,56.9,3974,44.7,55.3
"동거가구원수별",1인,1178,33.8,66.2,2264,49.5,50.5,1692,48.3,51.7,1902,36.5,63.5,2022,31.8,68.2,1799,37.1,62.9
"동거가구원수별",2인,2452,39.6,60.4,2171,46.1,53.9,2766,47,53,2581,39.9,60.1,2786,30.9,69.1,3059,36.8,63.2
"동거가구원수별",3인이상,6972,49.5,50.5,6063,52.4,47.6,5602,49.8,50.2,5605,46.8,53.2,5241,38.5,61.5,5188,40.6,59.4
"혼인상태별",미혼,2805,50,50,2925,50.1,49.9,2901,47.6,52.4,3041,49.5,50.5,2959,40.9,59.1,2704,39.6,60.4
"혼인상태별",기혼,6831,47.4,52.6,6121,52.2,47.8,5965,50.1,49.9,5713,44,56,5702,34.8,65.2,6093,40.1,59.9
"혼인상태별",사별/이혼/기타,966,31.1,68.9,1452,45.5,54.5,1194,45.5,54.5,1334,33.2,66.8,1388,24,76,1249,31.9,68.1
"가구주여부별",가구주,5001,47.6,52.4,5482,52.5,47.5,6563,49.6,50.4,5073,44.7,55.3,5133,35.4,64.6,5163,39.9,60.1
"가구주여부별",가구주 아님,5601,46.8,53.2,5016,49.8,50.2,3497,48.1,51.9,5015,44.1,55.9,4916,35.5,64.5,4883,38.9,61.1
"종사자지위별",상용근로자,-,-,-,-,-,-,2965,51,49,2980,48.5,51.5,3102,39,61,3300,40.2,59.8
"종사자지위별",임시근로자,-,-,-,-,-,-,497,43.3,56.7,518,37.3,62.7,653,31.3,68.7,630,36.8,63.2
"종사자지위별",일용근로자,-,-,-,-,-,-,165,49.2,50.8,164,28.9,71.1,161,41.7,58.3,205,39.6,60.4
"종사자지위별",고용원이 있는 자영업자,326,54.5,45.5,248,64.3,35.7,337,57.5,42.5,395,61.1,38.9,357,43.8,56.2,356,48.8,51.2
"종사자지위별",고용원이 없는 자영업자,1540,41.3,58.7,1637,46.9,53.1,2006,47.6,52.4,1755,41.7,58.3,1805,32.4,67.6,1557,42,58
"종사자지위별",무급가족종사자,233,38,62,139,43.5,56.5,250,43.6,56.4,173,37.7,62.3,235,24,76,188,31,69
"종사자지위별",기타종사자,-,-,-,-,-,-,47,55.6,44.4,59,49.1,50.9,40,51.1,48.9,53,54.3,45.7
"종사자지위별",해당없음(무직),4293,44,56,3857,46.2,53.8,3793,48.3,51.7,4044,-,-,3696,33.8,66.2,3757,37,63
"종사자지위별",임금.봉급 근로자,4210,51.9,48.1,4617,55.9,44.1,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,861,25.6,74.4,921,34.6,65.4,939,39.6,60.4,980,29.7,70.3,999,21.6,78.4,1098,28.3,71.7
"가구소득별",100~200만원,1075,34,66,1007,42.2,57.8,929,46.3,53.7,923,32.5,67.5,1012,26.4,73.6,824,33.7,66.3
"가구소득별",200~300만원,1594,41.5,58.5,1706,48.7,51.3,1613,47.1,52.9,1405,39.3,60.7,1421,31.7,68.3,1357,35.6,64.4
"가구소득별",300~400만원,2437,43.4,56.6,2246,49.8,50.2,2184,45,55,1824,43.3,56.7,1896,32.1,67.9,1764,37.6,62.4
"가구소득별",400~500만원,2231,50.5,49.5,2214,52.1,47.9,1785,47.2,52.8,1782,45.6,54.4,1611,36.2,63.8,1797,39,61
"가구소득별",500~600만원,1356,53.2,46.8,1405,53.1,46.9,1394,52.1,47.9,1407,48,52,1380,41.8,58.2,1532,39.8,60.2
"가구소득별",600만원 이상,1048,60.2,39.8,999,62,38,1216,59.8,40.2,1767,52.9,47.1,1730,45.4,54.6,1674,47.3,52.7
"지역규모별",대도시,4611,51.2,48.8,4418,54.5,45.5,4235,47.8,52.2,4373,46.6,53.4,4330,36.5,63.5,4331,45.6,54.4
"지역규모별",중소도시,3610,45.6,54.4,3524,52.3,47.7,3331,49.7,50.3,3776,43.7,56.3,3486,36.5,63.5,3459,33.4,66.6
"지역규모별",읍면지역,2381,40.3,59.7,2556,40.4,59.6,2494,49.9,50.1,1939,40.8,59.2,2233,30.8,69.2,2256,37.6,62.4
"권역별",수도권,3289,55,45,3182,56.4,43.6,3179,49.3,50.7,4895,40.4,59.6,3135,34.9,65.1,3107,39.4,60.6
"권역별",강원/제주권,762,42.6,57.4,786,47.7,52.3,765,53,47,440,35,65,777,42.5,57.5,772,47.4,52.6
"권역별",충청/세종권,1778,49.8,50.2,1772,49.5,50.5,1693,49.4,50.6,1115,34.4,65.6,1703,23.9,76.1,1721,29,71
