"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,국내캠핑,문화유적방문,자동차 드라이브,자연명승,삼림욕,소풍/야유회,온천/해수욕,테마파크가기,지역축제참가,해외여행	,표본수,국내캠핑,문화유적방문,자동차 드라이브,자연명승,삼림욕,소풍/야유회,온천/해수욕,지역축제참가,해외여행	,표본수,국내캠핑,문화유적방문,자동차 드라이브,자연명승,소풍/야유회,온천/해수욕,테마파크가기,지역축제참가,해외여행	,표본수,국내캠핑,문화유적방문,자동차 드라이브,자연명승,삼림욕,소풍/야유회,온천/해수욕,테마파크가기,지역축제참가,해외여행	,표본수,국내캠핑,문화유적방문,자동차 드라이브,자연명승,삼림욕,소풍/야유회,테마파크가기,표본수,국내캠핑,문화유적방문,자동차 드라이브,자연명승,삼림욕,소풍/야유회,온천/해수욕,테마파크가기
"전체",소계,4621,0.4,0.1,0.1,0.3,0,0,0.1,0.1,0.1,0.1,5013,0.7,0,0.3,0.2,0.1,0.1,0,0.1,0,4811,0.5,0.1,0.9,0.5,0.2,0.1,0.1,0.1,0.1,4401,1,0.1,0.8,0.4,0.1,0.1,0.1,0,0,0.1,3540,1.7,0.2,1.2,0.5,0.2,0,0.1,3926,1.3,0.8,0.8,0.8,0.1,0.1,0.1,0.1
"성별",남성,2385,0.6,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0.1,2565,0.7,-,0.6,0.2,0.1,0.2,0,-,-,2473,0.4,0,1,0.3,0.1,0.1,0.2,0.1,0.1,2367,1.1,0,0.9,0.5,0.1,0.1,-,-,0.1,0.1,1952,1.7,0.1,1.4,0.5,0.1,0,0,1985,1.3,0.6,0.9,0.6,0.1,0.1,0.1,-
"성별",여성,2236,0.1,0,0.1,0.6,0,0,0.1,0.2,0,0.1,2448,0.6,0,0.1,0.3,0.1,0,0.1,0.2,0,2338,0.6,0.1,0.9,0.6,0.2,0.1,0.1,0.1,0.1,2034,0.9,0.1,0.7,0.3,0.2,0,0.1,0.1,-,0.1,1588,1.7,0.3,1,0.4,0.4,0,0.3,1941,1.3,1.1,0.7,1,0.2,0.1,0.1,0.1
"연령별",15~19세,365,0,0,0,0,0,0,0,0.5,0,0,297,0.2,-,-,-,-,-,-,-,-,266,-,-,-,-,-,-,-,-,-,297,-,-,0.2,-,-,-,-,-,-,-,210,-,-,0.2,-,-,-,-,160,-,0.3,-,-,-,-,-,0.5
"연령별",20대,722,0.1,0,0.1,0.1,0,0,0,0,0,0,680,0.2,-,0,0.3,-,0.4,-,-,0.1,710,0.3,-,1.6,0.7,0.1,-,-,-,-,751,0.3,-,1.3,-,0.2,0.2,-,0,-,0.1,657,0.9,-,0.7,0.1,-,-,-,576,0.9,0.5,0.6,0.5,-,-,-,0.2
"연령별",30대,790,1,0,0.2,0.3,0,0.2,0,0.2,0,0.2,778,1.7,-,0.4,-,0.4,0.1,-,0,0,785,0.9,-,1.3,0.2,0.6,-,0.5,0.1,0.3,767,2.7,0.1,1.2,0.4,0.1,0.2,-,0.1,-,0.1,582,5.8,0.2,3.2,0.5,0.4,-,0.3,606,2.9,0.6,2.3,0.7,-,0.4,-,0.2
"연령별",40대,971,0.5,0.1,0.1,0.8,0,0,0,0,0.2,0.2,1068,0.8,0.1,1.2,0.2,-,0.1,-,-,-,955,1.6,0.2,1.1,0.4,0.1,0.1,0.1,0.1,0.2,882,1.7,0.1,1,0.5,-,-,-,-,0.1,-,643,3.1,0.1,1.4,0.3,-,0.2,0.2,683,2.5,0.9,0.8,0.6,0.1,0.2,-,-
"연령별",50대,899,0.3,0.3,0,0.1,0.1,0,0.1,0.3,0,0.1,1020,0.6,-,-,0.1,0.1,-,0.1,0.2,0,936,-,0.1,0.8,0.6,-,-,0.2,0.2,-,840,0.6,0.1,0.6,0.4,0.1,-,-,-,0.1,0.3,713,0.2,0.2,1.1,0.8,0.1,-,0.1,769,0.7,1.1,0.7,1.4,0.2,-,0.1,-
