"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,악기연주/노래교실,미술활동,춤/무용,사진촬영,전통예술배우기,글짓기/독서토론,문학행사참여,표본수,악기연주/노래교실,미술활동,춤/무용,사진촬영,전통예술배우기,글짓기/독서토론,문학행사참여,표본수,악기연주/노래교실,미술활동,춤/무용,사진촬영,전통예술배우기,글짓기/독서토론,문학행사참여,표본수,악기연주/노래교실,미술활동,춤/무용,사진촬영,전통예술배우기,글짓기/독서토론,표본수,악기연주/노래교실,미술활동,춤/무용,사진촬영,전통예술배우기,글짓기/독서토론,문학행사참여,표본수,악기연주/노래교실,미술활동,춤/무용,사진촬영,전통예술배우기,글짓기/독서토론
"전체",소계,4621,2.8,0.8,0.2,0.7,0.2,0.1,0.1,5013,2.8,1.3,0.4,0.7,0.5,0.1,0,4811,1.8,1.3,0.5,0.4,0.5,0.2,0.2,4401,1.9,0.9,0.4,0.4,0.2,0.3,3540,2.1,1,0.3,0.2,0.1,0.3,0.1,3926,1,0.8,0.6,0.4,0.2,0.2
"성별",남성,2385,1.2,0.4,0,0.7,0.1,0,0,2565,1.6,1,0.2,0.6,0.3,0.2,0,2473,1.6,0.3,0.2,0.5,0.3,0.1,0.2,2367,1.4,0.6,0,0.3,-,0.2,1952,2.2,0.6,-,0.3,0.1,0.3,-,1985,0.7,0.3,-,0.5,0.1,0.1
"성별",여성,2236,4.6,1.2,0.5,0.6,0.3,0.3,0.2,2448,4.2,1.6,0.7,0.7,0.6,0.1,0.1,2338,2,2.3,0.8,0.4,0.6,0.4,0.1,2034,2.6,1.4,0.9,0.4,0.3,0.5,1588,2.1,1.5,0.7,0.2,0.2,0.4,0.2,1941,1.4,1.3,1.2,0.2,0.3,0.3
"연령별",15~19세,365,4.3,1.9,1,1,0,1,0,297,4.8,2.7,0.3,0.8,0.3,0.1,-,266,7.4,0.3,0.6,0.6,0.3,0.4,-,297,1.4,3,2.7,-,-,0.9,210,3.5,1.8,0.4,0.4,-,0.4,-,160,0.7,2.6,-,0.8,-,-
"연령별",20대,722,2.4,0.7,0.3,1.1,0.2,0,0.3,680,1.8,0.9,0.9,1.4,0.2,-,-,710,0.5,0.4,0.2,0.1,-,-,0.7,751,1.4,0.7,0.2,0.8,-,0.1,657,2,0.9,0.2,0.1,-,0.6,-,576,1,0.7,0.9,0.5,-,0.1
"연령별",30대,790,1.8,0.6,0.2,1.2,0,0.1,0,778,1.1,0.8,0.2,1.4,-,-,-,785,0.5,0.7,0.2,1.1,0.2,0.2,-,767,1.5,0.8,0.3,0.6,-,0.4,582,1,0.5,0.6,0.1,-,-,-,606,0.8,0.4,0.3,0.3,-,-
"연령별",40대,971,1.3,0.5,0,0.2,0.1,0,0,1068,1.5,0.8,-,0.4,0.2,0.1,-,955,0.8,1.2,0.4,0.1,0.2,0.6,-,882,1.1,1,0.1,-,0.1,0.3,643,1.1,0.7,0.2,0.3,0.1,0.6,-,683,0.5,0.3,0.5,0.4,-,0.7
"연령별",50대,899,2.2,0.5,0,0.4,0.2,0.2,0.3,1020,1.9,0.8,0.5,0.2,0.1,0.1,0.1,936,2.1,2.5,0.2,0.5,0.3,0.3,0.3,840,1.7,0.5,0.4,0.4,0.2,0.4,713,3.1,1.1,0.1,0.3,0.3,0.5,-,769,0.8,1.4,0.8,0.3,0.6,-
