"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
"통계분류(1)",통계분류(2),TV시청,영화보기,등산,친구만남/동호회모임,산책,인터넷/SNS 등,헬스,종교활동,게임,쇼핑/외식
"전체",소계,12.7,6.7,5.9,5.2,5.1,5.1,3.6,3.4,3.2,3.2
"성별",남성,11.4,5.5,7.9,5,4.1,5.8,3.9,1.8,5.5,1.5
"성별",여성,13.9,7.8,4,5.4,6.1,4.3,3.3,4.9,1,4.7
"연령",15~19세,6.5,13.3,0.3,6.1,0.2,12,1.2,0.4,16.6,2.5
"연령",20대,6.4,12.3,1,5.5,1.8,10.2,3.8,0.9,6,5.2
"연령",30대,10.4,8.9,4.5,3.9,2.9,7,5.4,1.2,2.4,3.9
"연령",40대,12.5,5.5,7.9,4.8,4.9,2.8,4.3,3.6,0.9,3.3
"연령",50대,14.3,3.7,11.4,4.9,5.7,2.5,3.7,4.9,0.8,2.4
"연령",60대,19.2,0.5,9.6,5.5,12.3,0.1,2.1,6.2,0.1,2
"연령",70대이상,24.9,0.2,4.3,7.4,12.1,0.2,0.9,8.8,-,1
"학력",초졸 이하,23.9,3.2,2.2,6.4,7,2.7,0.2,6.5,4.9,1
"학력",중졸,15.1,5.8,4.9,6.3,5.7,5.5,1.9,5.3,5.9,2.4
"학력",고졸,12.7,6.4,7,5.1,6.3,4.6,3.7,3.5,3.2,3
"학력",대졸이상,9,8.1,6,4.6,3.2,6,4.8,1.8,1.9,4.1
"동거가구원수",1인,16.2,6.2,4,5.3,6.7,3.5,3.4,5.2,1.3,2.3
"동거가구원수",2인,18,3,8.2,6,8.4,2.2,2.7,5.1,1.1,2.5
"동거가구원수",4인,10.7,8.2,5.3,4.7,4.1,6.4,4.1,2.4,3.9,3.6
"동거가구원수",3인,11.2,6.5,6.5,5,4.1,5.7,3.4,2.9,4,3.4
"동거가구원수",5인 이상,11.3,7.5,4.3,6.7,4.1,3.6,2.8,4.4,3.6,2.4
"혼인상태별",미혼,6.8,11.7,1.6,5,1.2,10.5,3.6,0.8,8.9,3.9
"혼인상태별",기혼,14.4,4.8,8,5.1,6.4,3.1,3.7,3.9,0.9,3
"혼인상태별",사별/이혼/기타,20.9,2.2,4.3,6.2,9.5,0.7,2.5,8.8,0.3,1.7
"가구주여부",가구주,14.4,4,9.3,5.2,5.5,3.5,3.3,3.2,1.3,1.7
"가구주여부",가구주 아님,11.4,8.6,3.4,5.1,4.8,6.2,3.7,3.5,4.5,4.2
"종사자지위",임금.봉급 근로자,11.6,6.7,7.1,5.1,3.6,5.3,3.9,2.3,2.5,4
"종사자지위",고용원을 둔 사업자,8.2,6.2,12,2.3,4.1,4.2,2.3,2.2,0.3,2
"종사자지위",고용원이 없는 자영자,16.5,3.5,8.7,3.8,5.9,3.5,2.8,4.8,1,1.8
"종사자지위",무급가족종사자,18.3,3.6,3.9,4.7,5.9,3,1.2,3.3,1.6,1.5
"종사자지위",해당없음(무직),12.5,7.8,3.5,5.9,6.4,5.5,3.7,4,4.8,3
"가구소득",100만원 미만,25.4,3,4,5.9,10.5,1.5,0.9,6.6,0.8,1
"가구소득",100~200만원,17.8,3.3,7,5.4,10.2,1.1,1.5,7.2,2.2,1.5
"가구소득",200~300만원,15,5.7,6,3.9,4.9,6.4,3.5,2.6,3,3.6
"가구소득",300~400만원,13.1,7.7,5.7,5.6,3.9,5.1,3.2,2.3,3.7,3.9
"가구소득",400~500만원,9.4,7,6.6,5.5,3.9,6.6,5,2.6,3.9,3.8
"가구소득",500~600만원,8.2,8.7,5.3,4.8,4.4,7.3,3.5,2.6,3,2.5
"가구소득",600만원 이상,6.3,8.1,6.2,5,3.4,2.9,5.8,3.9,3.2,3.1
"가구소득",무응답,14.9,-,-,-,-,-,12.8,14.9,-,-
"지역규모",대도시,13,7.4,5.9,5,4.5,5.9,3.8,3.2,2.8,3.6
"지역규모",중소도시,10.7,6.6,6.1,5.3,5.5,5.1,4,3.1,3.6,2.8
"지역규모",읍면지역,15.8,4.9,5.4,5.5,6,3.1,2.2,4.4,3.2,2.8
"권역",수도권,10.7,7.3,6.2,5.8,5.1,5.5,4.6,3.8,3.2,3.4
"권역",강원/제주권,6.3,11.5,4.8,2.3,5.9,1.1,2.3,5.2,2.9,2.1
"권역",충청/세종권,11.8,9.3,6.9,4.5,7.6,4,3.2,2.8,3.2,2.9
"권역",호남권,16.2,5,4.9,6.9,5.2,5.1,2.4,4.2,2.4,2.3
"권역",대경권,6.1,5.6,6.6,4.8,3.3,3.5,3.2,2.6,2.9,3.5
"권역",동남권,22.9,3.6,4.7,3.6,4.6,6.6,2.1,1.9,4,3.2
"17개 시도",서울,11.5,7.8,5.9,5.7,4.4,6.1,4.5,3.9,2.4,3.9
"17개 시도",부산,24.3,4.5,5.1,3,4.5,6.3,2.2,1.9,2.8,3.4
"17개 시도",대구,7.3,8.9,7.4,5.6,3.3,5.9,2.6,2.9,3.3,3.6
"17개 시도",인천,9.5,5.5,4.8,5.1,3.8,4.9,5,3.7,4,3.8
"17개 시도",광주,10.3,8.1,7.1,5.3,6.8,4.1,2.2,3.6,1,3.6
"17개 시도",대전,8.3,13,6.7,5.3,7.7,5.6,3.1,3.1,3.6,3.3
"17개 시도",울산,17.5,6,8.2,1.1,3.4,5.7,4,1.2,4.7,2.4
"17개 시도",세종,15.3,3.8,5.8,2.9,5.9,3.8,10.7,3.7,1.7,2.1
"17개 시도",경기,10.2,7.2,6.8,6,6,5.1,4.5,3.8,3.6,2.9
"17개 시도",강원,4.7,10.9,5,2.2,5.7,1.1,2.1,5.3,3.7,2.2
"17개 시도",충북,12.3,8.9,7.6,4.7,8.4,3.1,3.4,2,2.5,2.8
"17개 시도",충남,13.9,7.1,6.7,3.8,7.1,3.4,2.7,3.1,3.5,2.8
"17개 시도",전북,17.1,3.9,4.5,7.4,5.3,4.1,2.1,3.7,1.9,2.1
"17개 시도",전남,20.2,3.6,3.5,7.6,3.8,6.9,2.7,5.2,4.1,1.4
"17개 시도",경북,5.1,2.5,5.8,4.1,3.3,1.4,3.7,2.4,2.5,3.4
"17개 시도",경남,23.2,1.8,3.1,5.2,5.1,7.1,1.4,2.1,5.2,3.2
"17개 시도",제주,10.9,13.4,4.1,2.4,6.6,1,2.7,5,0.7,1.9
