"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014
"통계분류(1)",통계분류(2),비용없음,5천원 미만,5천원~1만원,1만원~1만5천원,1만5천원~2만원,2만원~2만5천원,2만5천원 이상,평균금액
"전체",소계,85.2,3.7,2.5,2.9,0.4,1.8,3.5,2288
"성별",남성,83.9,4.1,2.6,2.6,0.4,2.2,4.3,2624
"성별",여성,86.4,3.3,2.4,3.2,0.4,1.5,2.8,1962
"연령",15~19세,88,5.4,1.9,3.2,0.1,0.5,0.9,960
"연령",20대,81,4.3,3.7,3.2,0.5,2.3,4.9,3189
"연령",30대,83.1,3.5,2.9,2.8,0.4,2.6,4.6,2811
"연령",40대,83.4,3.7,2.3,3,0.5,2.7,4.4,2852
"연령",50대,84.8,3.9,2.3,3.1,0.6,1.7,3.4,2215
"연령",60대,90.2,1.9,2.2,2.6,0.1,0.6,2.4,1451
"연령",70대이상,93.4,2.7,1.1,1.9,0.1,0.2,0.6,570
"학력",초졸 이하,93,3.1,0.8,2.2,0.1,0.5,0.3,533
"학력",중졸,90.6,3.1,1.8,2.4,0,0.9,1.2,1026
"학력",고졸,86.3,3.3,2.2,3.3,0.4,1.6,2.9,2010
"학력",대졸이상,80.2,4.4,3.5,2.9,0.6,2.7,5.7,3422
"동거가구원수",1인,84.8,4.5,2,2.8,0.1,1.8,4,2573
"동거가구원수",2인,88.3,3.1,2,2.7,0.1,1.3,2.4,1681
"동거가구원수",4인,84.1,3.9,2.7,3.2,0.4,1.8,3.9,2435
"동거가구원수",3인,85.4,3.1,2.6,2.2,0.7,2.4,3.6,2365
"동거가구원수",5인 이상,83.5,4.6,2.8,3.7,0.5,1.7,3.3,2357
"혼인상태별",미혼,82.9,4.5,3.2,3.4,0.4,2,3.7,2591
"혼인상태별",기혼,85.6,3.3,2.3,2.8,0.4,1.9,3.7,2287
"혼인상태별",사별/이혼/기타,90.2,3.9,1.4,2.3,0.1,0.6,1.4,1050
"가구주여부",가구주,85,3.7,2.1,2.5,0.3,2.2,4.1,2503
"가구주여부",가구주 아님,85.2,3.6,2.8,3.2,0.4,1.6,3.1,2135
"종사자지위",임금.봉급 근로자,82.8,3.9,2.7,2.6,0.4,2.7,4.8,2969
"종사자지위",고용원을 둔 사업자,76.8,3.8,2.3,5.1,0.4,4.7,6.9,4284
"종사자지위",고용원이 없는 자영자,86.8,3.2,2.3,2.8,0.3,1.3,3.3,2012
"종사자지위",무급가족종사자,93.9,2.6,1.7,1.5,-,-,0.4,439
"종사자지위",해당없음(무직),87.1,3.6,2.4,3.1,0.4,1.1,2.2,1659
"가구소득",100만원 미만,92.5,2.1,1.3,2.2,0.1,1.2,0.6,785
"가구소득",100~200만원,90.9,3.2,1.1,2.4,0.1,0.8,1.6,1265
"가구소득",200~300만원,84.5,4.6,2.5,2.5,0.3,1.7,3.9,2499
"가구소득",300~400만원,86.6,3.1,2.3,2.6,0.5,2,2.9,2023
"가구소득",400~500만원,84.6,4.4,2.2,2.8,0.6,2,3.5,2317
"가구소득",500~600만원,82.8,2.7,3.5,3.7,0.5,1.8,5,2903
"가구소득",600만원 이상,75.3,5.3,5.1,4.5,0.1,3,6.8,3958
"가구소득",무응답,100,-,-,-,-,-,-,0
"지역규모",대도시,84.4,4,2.2,2.7,0.4,2.2,4.1,2565
"지역규모",중소도시,83.8,3.7,3.2,3.5,0.4,1.8,3.6,2373
"지역규모",읍면지역,89.7,2.9,1.8,2.3,0.4,0.9,1.9,1412
"권역",수도권,81.3,4.4,3.3,3.2,0.5,2.3,4.9,3012
"권역",강원/제주권,71.7,6.7,4.1,6.7,0.8,3.6,6.5,4581
"권역",충청/세종권,85.1,2.5,2,3.3,0.5,2.8,3.9,2500
"권역",호남권,94.4,2,1.6,0.9,0.1,0.5,0.6,572
"권역",대경권,90,3.6,2.1,2.2,-,0.8,1.3,1069
"권역",동남권,91.2,2.4,0.9,2.7,0.3,0.7,1.7,1257
"17개 시도",서울,81.8,4.9,2.3,2.8,0.4,2.8,5,3016
"17개 시도",부산,91.2,2.7,1,2.5,0.2,0.4,2,1250
"17개 시도",대구,94.3,1.9,1.9,0.6,-,0.5,1,671
"17개 시도",인천,73.8,6.4,3.3,4,0.5,4,8,5138
"17개 시도",광주,93.5,0.8,3,1.1,0.3,1.2,0.2,661
"17개 시도",대전,77.1,3.4,3,4.8,1,3.7,6.9,4073
"17개 시도",울산,91.4,2.5,2,2,0.2,1.5,0.4,879
"17개 시도",세종,71.6,15.2,2.6,1.9,0.3,2.6,5.6,3094
"17개 시도",경기,82.7,3.6,4.2,3.3,0.6,1.6,4,2499
"17개 시도",강원,68.3,6.5,5.1,8,1.1,3.8,7.2,5205
"17개 시도",충북,89.6,1.9,1.6,2.1,0.4,1.9,2.5,1679
"17개 시도",충남,88.4,1.7,1.4,3.1,0.2,2.8,2.5,1896
"17개 시도",전북,94.9,1.9,1.1,0.5,-,0.3,1.3,734
"17개 시도",전남,94.7,3.1,0.8,1,-,0.3,0.2,335
"17개 시도",경북,85.9,5.3,2.3,3.7,-,1.2,1.7,1442
"17개 시도",경남,91.3,2,0.3,3.2,0.5,0.9,1.9,1395
"17개 시도",제주,81.6,7.2,1.1,2.8,-,2.9,4.3,2756
