"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014
"통계분류(1)",통계분류(2),매우 부족,부족,약간 부족,보통,약간 충분,충분,매우 충분,평균
"전체",소계,1,3.8,9.5,29.6,30.2,23.6,2.3,4.64
"성별",남성,0.8,3.4,9.5,29,31.2,23.7,2.3,4.67
"성별",여성,1.1,4.1,9.5,30.2,29.3,23.6,2.2,4.62
"연령",15~19세,1.5,5.7,13.1,27.4,30.9,18.3,3,4.47
"연령",20대,0.3,2.7,10.1,27.5,31.3,25.3,2.8,4.74
"연령",30대,0.7,4.1,8.8,30.4,28.6,25.3,2.2,4.67
"연령",40대,0.8,3.5,8.6,31.6,29.3,24.1,2.1,4.66
"연령",50대,1,3.4,9.1,28.8,31,24.8,1.9,4.67
"연령",60대,1.3,4.5,7.9,31.1,33.1,20.3,1.7,4.58
"연령",70대이상,2.2,3.8,11.1,29.2,28.7,22.6,2.5,4.56
"학력",초졸 이하,2.8,6.4,14.5,30.8,25.8,18.1,1.6,4.31
"학력",중졸,1.8,4.7,10.1,27.4,33.8,19.7,2.6,4.56
"학력",고졸,0.8,3.8,9.4,29.5,30.2,24.4,2.1,4.66
"학력",대졸이상,0.5,2.8,8.2,30.1,30.4,25.5,2.5,4.74
"동거가구원수",1인,1.7,4.3,7.6,30.5,27.4,26.4,2.1,4.65
"동거가구원수",2인,0.9,4.4,10.1,28,30.9,23.6,2.1,4.63
"동거가구원수",4인,0.6,3.7,9.7,28.7,31.8,23.1,2.3,4.66
"동거가구원수",3인,1.3,3.4,8.7,31.5,29.4,23.7,1.9,4.63
"동거가구원수",5인 이상,1.6,2.7,11.8,33.2,24.1,23.3,3.3,4.59
"혼인상태별",미혼,0.7,3.8,10.5,27.9,30.6,23.7,2.7,4.66
"혼인상태별",기혼,0.9,3.6,8.9,30.1,30.5,23.9,2.1,4.66
"혼인상태별",사별/이혼/기타,2.5,5.3,10.8,32.2,26.4,21.2,1.7,4.45
"가구주여부",가구주,1,3.8,9,29.9,30.2,24,2,4.65
"가구주여부",가구주 아님,1,3.8,9.9,29.4,30.2,23.4,2.4,4.64
"종사자지위",임금.봉급 근로자,0.6,2.9,8.6,29,32.2,24.5,2.3,4.72
"종사자지위",고용원을 둔 사업자,0.6,2.5,7.5,26,31,28.2,4.2,4.86
"종사자지위",고용원이 없는 자영자,0.8,3.1,9.9,33.3,29,22.1,1.8,4.6
"종사자지위",무급가족종사자,1,6.4,10.8,33.4,26.4,20.8,1.3,4.46
"종사자지위",해당없음(무직),1.4,4.8,10.4,29.1,28.8,23.1,2.3,4.58
"가구소득",100만원 미만,3.3,6.8,13.3,30.2,26.2,18.9,1.3,4.31
"가구소득",100~200만원,1.4,5.1,9.3,27.9,29.8,24.2,2.2,4.61
"가구소득",200~300만원,1.2,5.1,9.6,29.7,27.7,24.9,1.8,4.6
"가구소득",300~400만원,0.5,4.1,9.2,30.1,32.3,22,1.8,4.63
"가구소득",400~500만원,0.9,2.5,9.1,28.8,31.9,23.9,2.8,4.71
"가구소득",500~600만원,0.4,2.2,8.8,31.1,28.2,26.4,2.9,4.75
"가구소득",600만원 이상,0.7,2,9.5,29,31.7,24.5,2.7,4.73
"가구소득",무응답,-,14.9,-,-,57.4,14.9,12.8,4.96
"지역규모",대도시,0.9,4.3,9,27.5,33,23.5,1.8,4.65
"지역규모",중소도시,1.1,3.4,11,32.6,26.8,22.3,2.8,4.59
"지역규모",읍면지역,1.1,3.1,8,28.8,30.2,26.6,2.2,4.72
"권역",수도권,0.8,3.7,9.4,31.4,30.6,21.3,2.8,4.63
"권역",강원/제주권,4.9,6.8,13.5,48.6,13.4,8.4,4.4,4.02
"권역",충청/세종권,0.3,2.1,6.2,21.9,39.2,29.4,0.9,4.89
"권역",호남권,1.9,5.7,14.9,30.2,27.7,17.5,2.1,4.37
"권역",대경권,0.7,2.9,8.9,30.6,26.6,27.6,2.6,4.73
"권역",동남권,0.5,3.8,8,23,31.8,32.1,0.7,4.81
"17개 시도",서울,1,5,8.6,28.8,32.3,21.9,2.4,4.61
"17개 시도",부산,0.3,3.1,6.7,20.9,34.9,33.1,1,4.9
"17개 시도",대구,0.6,3.8,8.8,31.6,28.7,24.2,2.4,4.66
"17개 시도",인천,0.1,2.6,12.2,31.3,34.6,18.7,0.5,4.56
"17개 시도",광주,3.1,6.3,14.6,34.5,22.6,15.6,3.3,4.27
"17개 시도",대전,0.2,1.5,5,24.2,45.6,22.8,0.6,4.85
"17개 시도",울산,1.5,6.2,10,17.3,32.4,31,1.5,4.72
"17개 시도",세종,0.3,-,-,7.3,77.1,15.3,-,5.07
"17개 시도",경기,0.7,2.7,9.4,33.9,28,21.5,3.8,4.65
"17개 시도",강원,5.3,7.3,14.6,46,13.6,9.3,3.9,3.99
"17개 시도",충북,0.8,2.5,6.9,17,32.4,38.9,1.7,5.01
"17개 시도",충남,0.1,2.3,7.1,24.8,37.2,27.8,0.6,4.83
"17개 시도",전북,0.4,9,21.6,26.8,23.5,18.1,0.7,4.21
"17개 시도",전남,2.5,1.8,8.5,30.2,36.1,18.6,2.4,4.61
"17개 시도",경북,0.9,2,9.1,29.7,24.7,30.7,2.9,4.79
"17개 시도",경남,0.4,3.7,8.7,27.5,28.2,31.4,0.1,4.74
"17개 시도",제주,3.8,5.1,10.3,56.1,12.9,6,5.8,4.1
