"자치구(1)",자치구(2),2021,2021,2021,2021,2021
"자치구(1)",자치구(2),시설합계 (개소),노인복지관,노인복지관,경로당 (개소),노인교실 (개소)
"자치구(1)",자치구(2),소계,시설수 (개소),종사자수 (명),소계,소계
"서울시",소계,3869,36,2294,3487,346
"서울시",종로구,74,2,147,62,10
"서울시",중구,54,1,70,50,3
"서울시",용산구,111,1,48,89,21
"서울시",성동구,177,1,68,164,12
"서울시",광진구,104,1,61,95,8
"서울시",동대문구,148,1,108,131,16
"서울시",중랑구,141,2,138,128,11
"서울시",성북구,184,1,169,177,6
"서울시",강북구,118,1,36,100,17
"서울시",도봉구,145,1,61,136,8
"서울시",노원구,261,1,103,246,14
"서울시",은평구,175,1,114,157,17
"서울시",서대문구,125,1,89,112,12
"서울시",마포구,170,2,48,155,13
"서울시",양천구,190,3,141,164,23
"서울시",강서구,245,1,92,219,25
"서울시",구로구,222,1,65,201,20
"서울시",금천구,84,2,125,73,9
"서울시",영등포구,199,1,64,175,23
"서울시",동작구,151,1,81,141,9
"서울시",관악구,131,1,81,113,17
"서울시",서초구,145,3,108,136,6
"서울시",강남구,190,3,67,167,20
"서울시",송파구,189,1,85,172,16
"서울시",강동구,136,2,125,124,10
